Sample_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15
TCGA-BP-4760-01,-3.6884232913558725,3.572161417383983,5.664229987913724,2.513957465123057,1.2143572632030841,0.832939267212245,0.994131814413884,-0.5484302614132357,0.312790215233478,0.5126828272685999,-0.22745513316001587,-0.19884702647990546,0.15610594568020922,-1.6832340660167158,0.006614725006436624
TCGA-CW-5581-01,0.6546664286081859,0.11193342680034955,-0.5679068209442746,0.753636257925038,0.36663319425908886,-0.6853264873920435,-0.20001654392065576,0.004096184470909612,-0.10210688302658619,0.14782175591144517,0.4193191648289655,0.06817306147142371,0.804071195256059,0.6825108252347881,0.5012385592772796
TCGA-B0-4824-01,0.7114739976750362,0.49655463719960785,-0.3710566770654995,-0.5926345602181272,-0.337631529539001,-2.0383546230371112,-0.29059181185009736,1.146557432036419,-0.2699786932071975,-0.1337920383471916,0.03209136250442671,0.16196518666189882,-0.9008740319685562,0.1706928755374412,-0.3593931625937708
TCGA-CJ-4885-01,1.724208417946782,3.864035421248497,-3.229508926522353,-1.3145869993773645,-0.15380884800753036,-0.32892552612690457,0.12249015138921782,-0.02317882129008871,0.038628681045989315,-0.9243116855850942,-0.9916010061144486,0.17477249926006844,3.4622446502025,2.864281447602278,1.124938573567791
TCGA-B8-4151-01,3.862159185022307,4.8030587501592965,-3.277982943145459,-3.1577150563188523,-0.6515187147541771,-1.528132199136405,-1.28780623450521,0.2798281216458374,-0.23051218080052271,-1.0717726652479882,-1.742651301768277,2.203509182338342,-0.45952542196252727,3.669312067502826,1.5881067764840209
TCGA-CJ-4901-01,-1.7941771168084777,-4.707602676527473,0.5499153820307746,-0.9289733292889222,-0.5130422070450545,1.7041861987463693,0.7904797354149523,0.24033174688114414,0.08526870358532085,0.013482279726518066,-0.18662271216642434,-0.1320489430634997,-1.484229074871698,1.6069097778233283,1.1054381647668705
TCGA-CJ-5689-01,-0.4021099813715683,-1.1337682670750278,-0.16451707389006742,1.7814028110728175,-0.1915994566453229,0.2843318606729663,-0.15215043806892997,-0.3985806914382167,-0.008516241650531128,0.3965400404166961,0.19055168271644612,0.07638305801481308,1.788145069790774,-0.1880748739120289,-0.370257375884991
TCGA-DV-5569-01,1.3160629644009578,1.4517592255101268,-0.23787782298895038,-0.31796826528563576,0.7034624645651543,-1.777279278478363,1.0281607923768235,-0.2280975802852795,0.20920330717415292,-0.16834395389703222,0.0477628362220915,-0.1617457706185166,0.7035849336739916,-0.18102647815305944,-0.21980364142951964
TCGA-BP-4982-01,1.2811171661918435,0.4473248889290588,-0.18517747006720825,2.326860548850618,0.9215817584439578,-1.2706239035299527,0.3819462427481049,-0.13652095428968197,-0.22430516899086164,0.17146148038868572,0.3775975978775488,0.005122212147879244,-2.729128453478666,-2.191936873725773,-0.06717092591215162
TCGA-MM-A84U-01,-0.10044687158909514,-0.5732579060775386,-0.3985843807921281,-0.2212470434667994,0.31204473316327025,-0.10095826081350084,0.8602075406296569,0.31987605474844594,0.24832877008216564,-2.489777620299701,0.28299507995055573,-0.27080008034957737,-0.15450141691091668,0.0007566323061926825,-1.4931196200911974
